port,historical_name,region,modern_country,polity,era,cargo_function,significance,diversity_axis,research_verified
"Naha","Ryukyu","East Asia","Japan (Okinawa)","Ryukyu Kingdom","15th–18th c.","tribute entrepôt","Ming granted it uniquely favourable tribute terms, making a tiny kingdom the licensed conduit that laundered wakō smuggling into lawful China trade.","polity · function",1
"Macau","Macao","East Asia","China","Portugal (in Ming/Qing China)","1557–1830s","silk–silver · porcelain","The sole Portuguese enclave on the China coast — the Canton–Nagasaki silk-for-silver relay and Europe's back-door to China.","function · route",0
"Busan","Waegwan / Japan House","East Asia","Korea","Joseon Korea (Tsushima-run)","1600s–1800s","ginseng · silver","Korea's one licensed foreign post — the walled Tsushima-Japanese factory that mirrored Dejima on the opposite shore.","polity · function",0
"Ayutthaya","Ayudhya","SE Asia (mainland)","Thailand","Kingdom of Siam","16th c.–1767","deerskins · sappanwood","A cosmopolitan royal-monopoly capital-port with Dutch, French, Persian, Japanese and Chinese quarters, until its 1767 sack.","polity · route",0
"Hội An","Faifo","SE Asia","Vietnam","Nguyễn lords (Đàng Trong)","16th–18th c.","silk · ceramics · aloeswood","A monsoon port with permanent Japanese and Chinese quarters — the Nguyễn state's window for the Japan–Vietnam silk trade.","geography · polity",0
"Manila","","SE Asia","Philippines","Spain","1571–1815","American silver ⇄ Chinese silk","Terminus of the Manila galleon — one ship a year swapping American silver for Chinese silk, welding Acapulco to Asia.","route · cargo",0
"Makassar","Macassar","SE Asia","Indonesia (Sulawesi)","Sultanate of Gowa","1613–1669","contraband cloves · nutmeg","A free-trade sultanate that smuggled monopoly spices past the VOC until conquered — the loophole in the Dutch cartel.","function · polity",1
"Banda Neira","Banda Islands","SE Asia","Indonesia (Maluku)","Bandanese, then VOC","16th–18th c.","nutmeg & mace","The world's only source of nutmeg and mace — a few tiny islands the VOC depopulated in 1621 to hold the monopoly.","cargo",1
"Patani","Pattani","SE Asia","Thailand (Malay south)","Sultanate of Patani","1516–1630s","China–Malay entrepôt","A Malay port-queendom that absorbed trade redirected after Melaka's 1511 fall and hosted an early Portuguese factory.","polity",1
"Masulipatnam","Machilipatnam","Coromandel, India","India","Golconda / Mughal","16th–18th c.","painted cottons (chintz)","The Coromandel outlet whose kalamkari cottons clothed Southeast Asia and Persia — textiles, not tonnage.","cargo · geography",0
"Calicut","Kozhikode","Malabar, India","India","Zamorin of Calicut","15th–18th c.","black pepper","The Malabar pepper port where Vasco da Gama landed in 1498 — spice emporium of an indigenous Hindu polity.","cargo · polity",0
"Galle","","Ceylon","Sri Lanka","VOC / Kandy (ex-Portugal)","1640–1796","cinnamon","The fortified Dutch port through which the VOC's monopoly on the world's finest cinnamon flowed.","cargo",0
"Malé","Maldive Islands","Indian Ocean","Maldives","Maldive Sultanate","16th–18th c.","cowrie shells","Source of the cowries that served as money across Bengal and West Africa — a currency mine, not a bulk port.","cargo",0
"Mocha","Mokha","Red Sea / Arabia","Yemen","Ottoman Yemen","16th–early 19th c.","coffee","The Bab-el-Mandeb toll-port and world coffee market that named the bean; every Red Sea ship was forced to call.","cargo · chokepoint · polity",1
"Muscat","Masqaṭ","Gulf of Oman","Oman","Omani Empire","1650–1830s","dates · re-export · arms","Seat of an Arab sea-empire that expelled the Portuguese and ran a network to Zanzibar — an indigenous naval power's base.","polity",0
"Bandar Abbas","Gombroon","Persian Gulf","Iran","Safavid Persia","1622–1760s","silk · cotton · spices","The Safavid-held foothold at the Strait of Hormuz where Dutch, English and Persian interests collided.","chokepoint · polity",1
"Kharg Island","Khārk","Persian Gulf","Iran","VOC (granted by Bandar Rig)","1753–1766","pearls","A VOC pearl-fishery fort on a Gulf island, seized back by the corsair Mir Muhanna — the Dutch Gulf endgame.","cargo · company",1
"Mombasa","Fort Jesus","Swahili coast","Kenya","Portugal ⇄ Oman (contested)","1593–1729","ivory","The fortress that changed hands between Portugal and Oman — the flashpoint of the Swahili coast.","geography · polity",0
"Île Sainte-Marie","Nosy Boraha","Madagascar","Madagascar","pirate haven / Betsimisaraka","1690–1720s","plunder · refuge","The principal Indian-Ocean pirate base — significant purely for its position astride the Indies route (Kidd, Tew, Every).","function",1
"Elmina","São Jorge da Mina","West Africa (Gold Coast)","Ghana","Portugal → Dutch (1637)","1482–1800s","gold, then slaves","The oldest European fort in sub-Saharan Africa — first a gold castle, later a slaving depot.","cargo · route",0
"Saint-Louis","Ndar","West Africa (Senegal)","Senegal","France","1659–1800s","gum arabic","The French river-mouth entrepôt for gum arabic — the textile fixative Europe's dyers could not do without.","cargo · geography",0
"Old Calabar","Akwa Akpa","Bight of Biafra","Nigeria","Efik city-states","17th–19th c.","enslaved people · palm oil","An African-run polity whose Efik merchants brokered the Biafran slave (then palm-oil) trade on their own terms.","polity · cargo",0
"Arkhangelsk","Archangel","White Sea / Arctic","Russia","Tsardom of Russia","1584–1700s","furs · naval stores · tar","Russia's sole seaport before St Petersburg — an ice-bound White Sea window worked by the English Muscovy Company.","geography · polity",0
"Smeerenburg","'Blubbertown'","Svalbard / Arctic","Svalbard","Dutch & Danish whalers","1619–1660s","whale oil","A seasonal whaling town rendering blubber at 79°N — a summer-only port that existed for oil alone.","cargo · geography",0
"Windau","Ventspils","Baltic","Latvia","Duchy of Courland","1650s–1690s","colonial re-export","Home port of the pocket duchy that improbably colonised Tobago and an island in the Gambia.","polity",0
"Emden","","North Sea","Germany","Brandenburg-Prussia","1680s–1720s","Gold Coast trade","Base of the Brandenburg African Company and Fort Groß Friedrichsburg — Prussia's brief Atlantic-slaving bid.","polity",0
"Ragusa","Dubrovnik","Adriatic","Croatia","Republic of Ragusa","16th–18th c.","neutral carriage","A small, fiercely independent merchant republic whose neutral flag carried Ottoman–Christian trade past Venice.","polity · function",0
"Smyrna","İzmir","Aegean / Levant","Turkey","Ottoman Empire","17th–18th c.","silk · mohair · cotton · figs","The Ottoman terminus of the Levant trade, where 'Levant Company' factories gathered Persian silk and Anatolian goods.","cargo · polity",0
"Kaffa","Caffa / Kefe","Black Sea / Crimea","Ukraine (Crimea)","Crimean Khanate / Ottoman","15th–18th c.","enslaved people","The Black Sea's great slave market, funnelling captives from the Tatar raids into the Ottoman world.","cargo · polity",0
"Portobelo","Puerto Bello","Caribbean (Panama)","Panama","Spain","1597–1739","American silver (transshipment)","A fever-ridden village that hosted the galleon fair — for a few weeks a year, Potosí's silver crossed the isthmus here.","route · cargo",0
"St Eustatius","Statia","Caribbean","Neth. Antilles","Dutch West India Co.","1730s–1781","contraband entrepôt","'The Golden Rock' — a free port so busy smuggling arms (including to the American rebels) that Britain sacked it in 1781.","function",0
"Sitka","New Archangel","North Pacific / Alaska","USA (Alaska)","Russian-American Company","1799–1830s","sea-otter furs","Capital of Russian America, existing to feed the Canton fur market — a monopoly company's Pacific outpost.","cargo · polity",1
"Louisbourg","","North Atlantic","Canada (Cape Breton)","France","1713–1758","dried salt cod","France's fortified cod-and-transshipment base — its cod exports were worth more than the fur trade.","cargo · geography",1
